States,Latitude,Longitude
Acre,-9.070003236,-68.66997929
Alagoas,-9.48000405,-35.83996769
Amapa,-0.039598369,-51.17998743
Amazonas,-3.289580873,-60.6199797
Bahia,-16.28000242,-39.0299797
Ceara,-2.89999225,-40.85002364
Distrito Federal,-15.78334023,-47.91605229
Espirito Santo,-20.85000771,-41.12998071
Goias,-17.73004311,-49.10998458
Maranhao,-5.809995505,-46.14998438
Mato Grosso,-15.65001504,-56.14002059
Mato Grosso Do Sul,-22.53000853,-55.7299681
Minas Gerais,-18.78000486,-42.95002466
Para,-1.190019105,-47.17999903
Paraiba,-7.019585756,-37.29000838
Parana,-24.08996499,-54.2699797
Pernambuco,-8.110010153,-35.02004358
Piaui,-4.820030091,-42.18001998
Rio De Janeiro,-22.56003253,-44.1699502
Rio Grande Do Norte,-5.650005271,-37.80000309
Rio Grande Do Sul ,-30.88004148,-55.53000615
Rondonia,-11.64002724,-61.20999536
Roraima ,1.816231505,-61.12767481
Santa Catarina,-27.23003172,-52.03001306
Sao Paulo,-23.65283405,-46.52781661
Sergipe,-11.26961058,-37.45002446
Tocantins,-6.319576804,-47.41998438
